3
100 80 60
1 71 36 2.0000000000000000e+00
1 71 37 1.0000000000000000e+00
1 71 38 2.0000000000000000e+00
1 71 39 2.0000000000000000e+00
1 71 53 5.0000000000000000e+00
1 71 54 5.0000000000000000e+00
1 72 20 1.0000000000000000e+00
1 77 19 1.0000000000000000e+00
1 77 20 1.0000000000000000e+00
1 77 39 1.0000000000000000e+00
1 77 57 1.0000000000000000e+00
1 78 5 1.0000000000000000e+00
1 79 8 1.0000000000000000e+00
1 79 37 1.0000000000000000e+00
1 80 5 3.0000000000000000e+00
1 80 19 2.0000000000000000e+00
1 80 20 1.0000000000000000e+00
1 80 21 1.0000000000000000e+00
1 80 32 1.0000000000000000e+00
1 80 36 1.0000000000000000e+00
1 80 38 2.0000000000000000e+00
1 80 39 2.0000000000000000e+00
1 80 53 1.0000000000000000e+00
1 80 54 1.0000000000000000e+00
2 8 50 1.0000000000000000e+00
2 35 31 1.0000000000000000e+00
2 62 53 1.0000000000000000e+00
3 1 6 2.0000000000000000e+00
3 1 17 1.0000000000000000e+00
3 1 39 1.0000000000000000e+00
3 1 49 1.0000000000000000e+00
3 1 52 1.0000000000000000e+00
3 2 15 1.0000000000000000e+00
3 3 47 1.0000000000000000e+00
3 3 59 1.0000000000000000e+00
3 5 2 1.0000000000000000e+00
3 5 16 2.0000000000000000e+00
3 5 22 1.0000000000000000e+00
3 5 40 1.0000000000000000e+00
3 5 41 1.0000000000000000e+00
3 5 42 1.0000000000000000e+00
3 5 47 4.0000000000000000e+00
3 5 59 1.0000000000000000e+00
3 6 6 3.0000000000000000e+00
3 6 8 1.0000000000000000e+00
3 6 9 1.0000000000000000e+00
3 6 17 4.0000000000000000e+00
3 6 30 2.0000000000000000e+00
3 6 32 1.0000000000000000e+00
3 6 39 2.0000000000000000e+00
3 6 42 4.0000000000000000e+00
3 6 48 2.0000000000000000e+00
3 6 49 4.0000000000000000e+00
3 6 52 5.0000000000000000e+00
3 6 53 4.0000000000000000e+00
3 7 15 1.0000000000000000e+00
3 7 22 1.0000000000000000e+00
3 7 37 1.0000000000000000e+00
3 10 6 1.0000000000000000e+00
3 11 6 1.0000000000000000e+00
3 11 39 1.0000000000000000e+00
3 13 6 6.0000000000000000e+00
3 13 17 1.0000000000000000e+00
3 13 19 1.0000000000000000e+00
3 13 29 2.0000000000000000e+00
3 13 30 4.0000000000000000e+00
3 13 39 2.0000000000000000e+00
3 13 42 1.0000000000000000e+00
3 13 49 5.0000000000000000e+00
3 13 52 5.0000000000000000e+00
3 13 53 2.0000000000000000e+00
3 13 57 1.0000000000000000e+00
3 15 6 3.0000000000000000e+00
3 15 17 3.0000000000000000e+00
3 15 30 5.0000000000000000e+00
3 15 32 1.0000000000000000e+00
3 15 39 1.0000000000000000e+00
3 15 42 3.0000000000000000e+00
3 15 49 6.0000000000000000e+00
3 15 52 4.0000000000000000e+00
3 15 53 2.0000000000000000e+00
3 19 2 1.0000000000000000e+00
3 19 4 2.0000000000000000e+00
3 19 6 4.0000000000000000e+00
3 19 15 2.0000000000000000e+00
3 19 16 1.0000000000000000e+00
3 19 17 6.0000000000000000e+00
3 19 22 2.0000000000000000e+00
3 19 26 1.0000000000000000e+00
3 19 29 1.0000000000000000e+00
3 19 30 2.0000000000000000e+00
3 19 32 1.0000000000000000e+00
3 19 37 1.0000000000000000e+00
3 19 41 3.0000000000000000e+00
3 19 42 3.0000000000000000e+00
3 19 47 2.0000000000000000e+00
3 19 48 1.0000000000000000e+00
3 19 49 3.0000000000000000e+00
3 19 52 2.0000000000000000e+00
3 19 60 1.0000000000000000e+00
3 20 6 1.0000000000000000e+00
3 20 13 1.0000000000000000e+00
3 20 17 3.0000000000000000e+00
3 20 30 2.0000000000000000e+00
3 20 32 1.0000000000000000e+00
3 20 39 1.0000000000000000e+00
3 20 42 1.0000000000000000e+00
3 20 48 1.0000000000000000e+00
3 20 49 3.0000000000000000e+00
3 20 52 1.0000000000000000e+00
3 20 53 1.0000000000000000e+00
3 21 2 2.0000000000000000e+00
3 21 16 2.0000000000000000e+00
3 21 22 1.0000000000000000e+00
3 21 37 3.0000000000000000e+00
3 21 41 1.0000000000000000e+00
3 21 42 1.0000000000000000e+00
3 21 47 1.0000000000000000e+00
3 21 48 1.0000000000000000e+00
3 21 58 1.0000000000000000e+00
3 21 60 4.0000000000000000e+00
3 24 42 1.0000000000000000e+00
3 30 2 3.0000000000000000e+00
3 30 4 4.0000000000000000e+00
3 30 9 1.0000000000000000e+00
3 30 15 2.0000000000000000e+00
3 30 16 2.0000000000000000e+00
3 30 22 4.0000000000000000e+00
3 30 37 1.0000000000000000e+00
3 30 42 2.0000000000000000e+00
3 30 47 2.0000000000000000e+00
3 30 59 1.0000000000000000e+00
3 30 60 2.0000000000000000e+00
3 33 2 2.0000000000000000e+00
3 33 15 2.0000000000000000e+00
3 33 16 1.0000000000000000e+00
3 33 22 3.0000000000000000e+00
3 33 41 1.0000000000000000e+00
3 33 47 2.0000000000000000e+00
3 33 58 1.0000000000000000e+00
3 33 59 2.0000000000000000e+00
3 33 60 1.0000000000000000e+00
3 34 15 1.0000000000000000e+00
3 35 2 1.0000000000000000e+00
3 35 4 2.0000000000000000e+00
3 35 15 5.0000000000000000e+00
3 35 22 1.0000000000000000e+00
3 35 37 1.0000000000000000e+00
3 35 41 5.0000000000000000e+00
3 35 47 3.0000000000000000e+00
3 35 53 1.0000000000000000e+00
3 35 59 1.0000000000000000e+00
3 35 60 2.0000000000000000e+00
3 36 6 3.0000000000000000e+00
3 36 17 4.0000000000000000e+00
3 36 30 4.0000000000000000e+00
3 36 32 1.0000000000000000e+00
3 36 39 2.0000000000000000e+00
3 36 48 1.0000000000000000e+00
3 36 52 1.0000000000000000e+00
3 36 53 1.0000000000000000e+00
3 37 2 2.0000000000000000e+00
3 37 15 1.0000000000000000e+00
3 37 22 1.0000000000000000e+00
3 37 41 2.0000000000000000e+00
3 37 42 1.0000000000000000e+00
3 37 59 1.0000000000000000e+00
3 37 60 2.0000000000000000e+00
3 38 6 4.0000000000000000e+00
3 38 8 1.0000000000000000e+00
3 38 17 6.0000000000000000e+00
3 38 19 2.0000000000000000e+00
3 38 30 4.0000000000000000e+00
3 38 34 1.0000000000000000e+00
3 38 39 1.0000000000000000e+00
3 38 42 3.0000000000000000e+00
3 38 48 3.0000000000000000e+00
3 38 49 5.0000000000000000e+00
3 38 52 6.0000000000000000e+00
3 38 53 4.0000000000000000e+00
3 38 59 1.0000000000000000e+00
3 39 22 1.0000000000000000e+00
3 44 2 6.0000000000000000e+00
3 44 4 2.0000000000000000e+00
3 44 6 2.0000000000000000e+00
3 44 15 1.0000000000000000e+00
3 44 17 3.0000000000000000e+00
3 44 22 1.0000000000000000e+00
3 44 30 4.0000000000000000e+00
3 44 37 1.0000000000000000e+00
3 44 39 2.0000000000000000e+00
3 44 41 2.0000000000000000e+00
3 44 42 1.0000000000000000e+00
3 44 49 5.0000000000000000e+00
3 44 52 3.0000000000000000e+00
3 44 53 3.0000000000000000e+00
3 46 17 3.0000000000000000e+00
3 46 26 1.0000000000000000e+00
3 46 42 2.0000000000000000e+00
3 46 49 2.0000000000000000e+00
3 46 52 1.0000000000000000e+00
3 46 53 1.0000000000000000e+00
3 47 6 1.0000000000000000e+00
3 47 17 8.0000000000000000e+00
3 47 19 1.0000000000000000e+00
3 47 30 3.0000000000000000e+00
3 47 32 1.0000000000000000e+00
3 47 39 1.0000000000000000e+00
3 47 42 1.0000000000000000e+00
3 47 43 1.0000000000000000e+00
3 47 49 5.0000000000000000e+00
3 47 52 4.0000000000000000e+00
3 47 53 1.0000000000000000e+00
3 48 6 3.0000000000000000e+00
3 48 17 6.0000000000000000e+00
3 48 30 4.0000000000000000e+00
3 48 39 1.0000000000000000e+00
3 48 42 1.0000000000000000e+00
3 48 48 2.0000000000000000e+00
3 48 49 2.0000000000000000e+00
3 48 52 3.0000000000000000e+00
3 48 53 2.0000000000000000e+00
3 48 60 1.0000000000000000e+00
3 49 1 1.0000000000000000e+00
3 49 6 3.0000000000000000e+00
3 49 14 1.0000000000000000e+00
3 49 17 2.0000000000000000e+00
3 49 19 2.0000000000000000e+00
3 49 30 3.0000000000000000e+00
3 49 32 2.0000000000000000e+00
3 49 42 1.0000000000000000e+00
3 49 43 1.0000000000000000e+00
3 49 48 2.0000000000000000e+00
3 49 49 5.0000000000000000e+00
3 49 52 6.0000000000000000e+00
3 49 53 3.0000000000000000e+00
3 52 60 1.0000000000000000e+00
3 55 9 1.0000000000000000e+00
3 55 19 1.0000000000000000e+00
3 55 47 1.0000000000000000e+00
3 58 4 1.0000000000000000e+00
3 58 15 1.0000000000000000e+00
3 58 16 1.0000000000000000e+00
3 58 22 1.0000000000000000e+00
3 58 41 2.0000000000000000e+00
3 58 60 1.0000000000000000e+00
3 59 30 1.0000000000000000e+00
3 59 60 1.0000000000000000e+00
3 62 2 1.0000000000000000e+00
3 62 4 3.0000000000000000e+00
3 62 22 2.0000000000000000e+00
3 62 31 1.0000000000000000e+00
3 62 47 2.0000000000000000e+00
3 62 49 1.0000000000000000e+00
3 64 2 6.0000000000000000e+00
3 64 16 1.0000000000000000e+00
3 64 22 3.0000000000000000e+00
3 64 37 2.0000000000000000e+00
3 64 41 1.0000000000000000e+00
3 64 47 1.0000000000000000e+00
3 64 52 1.0000000000000000e+00
3 64 59 1.0000000000000000e+00
3 64 60 5.0000000000000000e+00
3 65 2 3.0000000000000000e+00
3 65 16 1.0000000000000000e+00
3 65 22 3.0000000000000000e+00
3 65 37 1.0000000000000000e+00
3 65 41 3.0000000000000000e+00
3 65 47 2.0000000000000000e+00
3 65 59 1.0000000000000000e+00
3 65 60 2.0000000000000000e+00
3 66 35 1.0000000000000000e+00
3 67 6 4.0000000000000000e+00
3 67 17 1.0000000000000000e+00
3 67 30 4.0000000000000000e+00
3 67 32 2.0000000000000000e+00
3 67 36 1.0000000000000000e+00
3 67 39 1.0000000000000000e+00
3 67 40 1.0000000000000000e+00
3 67 42 1.0000000000000000e+00
3 67 43 1.0000000000000000e+00
3 67 48 2.0000000000000000e+00
3 67 49 5.0000000000000000e+00
3 67 52 5.0000000000000000e+00
3 67 53 8.0000000000000000e+00
3 68 4 2.0000000000000000e+00
3 68 16 1.0000000000000000e+00
3 68 22 2.0000000000000000e+00
3 68 37 1.0000000000000000e+00
3 68 41 1.0000000000000000e+00
3 68 60 1.0000000000000000e+00
3 73 6 3.0000000000000000e+00
3 73 13 1.0000000000000000e+00
3 73 17 2.0000000000000000e+00
3 73 30 1.0000000000000000e+00
3 73 32 1.0000000000000000e+00
3 73 39 1.0000000000000000e+00
3 73 42 1.0000000000000000e+00
3 73 49 2.0000000000000000e+00
3 73 52 1.0000000000000000e+00
3 73 53 2.0000000000000000e+00
3 73 59 1.0000000000000000e+00
3 74 4 1.0000000000000000e+00
3 74 6 5.0000000000000000e+00
3 74 17 3.0000000000000000e+00
3 74 29 1.0000000000000000e+00
3 74 30 4.0000000000000000e+00
3 74 42 5.0000000000000000e+00
3 74 49 1.0000000000000000e+00
3 74 52 2.0000000000000000e+00
3 74 53 1.0000000000000000e+00
3 75 59 1.0000000000000000e+00
3 78 6 1.0000000000000000e+00
3 79 22 1.0000000000000000e+00
3 79 33 1.0000000000000000e+00
3 80 16 1.0000000000000000e+00
4 2 11 1.0000000000000000e+00
4 2 15 4.0000000000000000e+00
4 2 18 1.0000000000000000e+00
4 2 22 1.0000000000000000e+00
4 2 29 1.0000000000000000e+00
4 2 33 2.0000000000000000e+00
4 2 53 1.0000000000000000e+00
4 2 59 2.0000000000000000e+00
4 7 32 1.0000000000000000e+00
4 7 50 1.0000000000000000e+00
4 8 1 2.0000000000000000e+00
4 8 15 3.0000000000000000e+00
4 8 18 8.0000000000000000e+00
4 8 29 2.0000000000000000e+00
4 8 31 1.0000000000000000e+00
4 8 33 2.0000000000000000e+00
4 8 38 2.0000000000000000e+00
4 8 46 1.0000000000000000e+00
4 8 50 3.0000000000000000e+00
4 8 53 2.0000000000000000e+00
4 8 55 1.0000000000000000e+00
4 8 59 1.1000000000000000e+01
4 9 5 2.0000000000000000e+00
4 9 17 3.0000000000000000e+00
4 9 19 1.0000000000000000e+00
4 9 20 2.0000000000000000e+00
4 9 24 1.0000000000000000e+00
4 9 32 3.0000000000000000e+00
4 9 36 4.0000000000000000e+00
4 9 38 1.0000000000000000e+00
4 9 39 2.0000000000000000e+00
4 9 53 3.0000000000000000e+00
4 9 54 3.0000000000000000e+00
4 9 55 1.0000000000000000e+00
4 12 32 1.0000000000000000e+00
4 13 29 1.0000000000000000e+00
4 15 17 1.0000000000000000e+00
4 15 38 1.0000000000000000e+00
4 16 39 1.0000000000000000e+00
4 18 18 1.0000000000000000e+00
4 19 42 1.0000000000000000e+00
4 20 5 7.0000000000000000e+00
4 20 17 3.0000000000000000e+00
4 20 19 6.0000000000000000e+00
4 20 20 4.0000000000000000e+00
4 20 24 5.0000000000000000e+00
4 20 32 4.0000000000000000e+00
4 20 38 2.0000000000000000e+00
4 20 39 4.0000000000000000e+00
4 20 53 3.0000000000000000e+00
4 20 54 5.0000000000000000e+00
4 21 15 1.0000000000000000e+00
4 21 29 1.0000000000000000e+00
4 21 39 1.0000000000000000e+00
4 21 55 1.0000000000000000e+00
4 23 17 2.0000000000000000e+00
4 23 20 1.0000000000000000e+00
4 23 24 1.0000000000000000e+00
4 23 32 1.0000000000000000e+00
4 23 39 2.0000000000000000e+00
4 23 53 1.0000000000000000e+00
4 25 5 4.0000000000000000e+00
4 25 17 1.0000000000000000e+00
4 25 19 3.0000000000000000e+00
4 25 20 1.0000000000000000e+00
4 25 24 1.0000000000000000e+00
4 25 32 3.0000000000000000e+00
4 25 36 1.0000000000000000e+00
4 25 38 3.0000000000000000e+00
4 25 39 2.0000000000000000e+00
4 25 53 1.0000000000000000e+00
4 25 54 4.0000000000000000e+00
4 25 57 1.0000000000000000e+00
4 26 53 1.0000000000000000e+00
4 27 15 4.0000000000000000e+00
4 27 18 3.0000000000000000e+00
4 27 22 2.0000000000000000e+00
4 27 26 1.0000000000000000e+00
4 27 31 2.0000000000000000e+00
4 27 33 4.0000000000000000e+00
4 27 36 1.0000000000000000e+00
4 27 38 2.0000000000000000e+00
4 27 50 2.0000000000000000e+00
4 27 53 8.0000000000000000e+00
4 27 59 3.0000000000000000e+00
4 28 55 1.0000000000000000e+00
4 29 1 5.0000000000000000e+00
4 29 10 1.0000000000000000e+00
4 29 15 3.0000000000000000e+00
4 29 18 5.0000000000000000e+00
4 29 22 2.0000000000000000e+00
4 29 29 4.0000000000000000e+00
4 29 33 4.0000000000000000e+00
4 29 38 4.0000000000000000e+00
4 29 50 3.0000000000000000e+00
4 29 53 6.0000000000000000e+00
4 29 59 4.0000000000000000e+00
4 30 1 1.0000000000000000e+00
4 30 18 3.0000000000000000e+00
4 30 22 1.0000000000000000e+00
4 30 29 1.0000000000000000e+00
4 30 31 1.0000000000000000e+00
4 30 32 1.0000000000000000e+00
4 30 33 7.0000000000000000e+00
4 30 38 3.0000000000000000e+00
4 30 46 1.0000000000000000e+00
4 30 53 1.0000000000000000e+00
4 30 59 6.0000000000000000e+00
4 32 1 3.0000000000000000e+00
4 32 15 3.0000000000000000e+00
4 32 18 4.0000000000000000e+00
4 32 22 2.0000000000000000e+00
4 32 29 1.0000000000000000e+00
4 32 31 1.0000000000000000e+00
4 32 33 4.0000000000000000e+00
4 32 36 1.0000000000000000e+00
4 32 38 2.0000000000000000e+00
4 32 50 3.0000000000000000e+00
4 32 53 6.0000000000000000e+00
4 32 55 4.0000000000000000e+00
4 32 59 7.0000000000000000e+00
4 35 1 2.0000000000000000e+00
4 35 15 5.0000000000000000e+00
4 35 18 1.0000000000000000e+01
4 35 22 6.0000000000000000e+00
4 35 29 2.0000000000000000e+00
4 35 33 4.0000000000000000e+00
4 35 38 5.0000000000000000e+00
4 35 41 1.0000000000000000e+00
4 35 50 4.0000000000000000e+00
4 35 53 4.0000000000000000e+00
4 35 55 2.0000000000000000e+00
4 35 59 9.0000000000000000e+00
4 36 1 1.0000000000000000e+00
4 36 15 1.0000000000000000e+00
4 36 18 5.0000000000000000e+00
4 36 22 2.0000000000000000e+00
4 36 29 3.0000000000000000e+00
4 36 31 1.0000000000000000e+00
4 36 33 4.0000000000000000e+00
4 36 59 3.0000000000000000e+00
4 37 53 1.0000000000000000e+00
4 37 59 1.0000000000000000e+00
4 38 5 5.0000000000000000e+00
4 38 12 1.0000000000000000e+00
4 38 17 5.0000000000000000e+00
4 38 19 1.0000000000000000e+00
4 38 20 3.0000000000000000e+00
4 38 21 1.0000000000000000e+00
4 38 24 2.0000000000000000e+00
4 38 32 2.0000000000000000e+00
4 38 36 1.0000000000000000e+00
4 38 39 3.0000000000000000e+00
4 38 42 1.0000000000000000e+00
4 38 53 8.0000000000000000e+00
4 38 54 3.0000000000000000e+00
4 38 57 2.0000000000000000e+00
4 39 5 3.0000000000000000e+00
4 39 19 3.0000000000000000e+00
4 39 20 5.0000000000000000e+00
4 39 24 2.0000000000000000e+00
4 39 32 1.0000000000000000e+00
4 39 36 1.0000000000000000e+00
4 39 38 4.0000000000000000e+00
4 39 39 1.0000000000000000e+00
4 39 49 1.0000000000000000e+00
4 39 53 5.0000000000000000e+00
4 39 54 5.0000000000000000e+00
4 44 15 1.0000000000000000e+00
4 44 19 1.0000000000000000e+00
4 46 1 1.0000000000000000e+00
4 46 18 2.0000000000000000e+00
4 46 22 2.0000000000000000e+00
4 46 33 1.0000000000000000e+00
4 46 53 4.0000000000000000e+00
4 46 55 1.0000000000000000e+00
4 46 59 6.0000000000000000e+00
4 50 5 3.0000000000000000e+00
4 50 14 1.0000000000000000e+00
4 50 17 2.0000000000000000e+00
4 50 19 1.0000000000000000e+00
4 50 20 2.0000000000000000e+00
4 50 32 3.0000000000000000e+00
4 50 36 1.0000000000000000e+00
4 50 38 1.0000000000000000e+00
4 50 39 2.0000000000000000e+00
4 50 53 1.0000000000000000e+00
4 50 54 1.0000000000000000e+00
4 52 50 1.0000000000000000e+00
4 53 39 1.0000000000000000e+00
4 54 1 1.0000000000000000e+00
4 54 18 1.0000000000000000e+00
4 56 5 3.0000000000000000e+00
4 56 19 1.0000000000000000e+00
4 56 20 2.0000000000000000e+00
4 56 24 1.0000000000000000e+00
4 56 32 1.0000000000000000e+00
4 56 38 1.0000000000000000e+00
4 56 49 1.0000000000000000e+00
4 56 59 1.0000000000000000e+00
4 58 39 1.0000000000000000e+00
4 59 5 1.0000000000000000e+00
4 59 17 1.0000000000000000e+00
4 59 19 1.0000000000000000e+00
4 59 20 1.0000000000000000e+00
4 59 24 2.0000000000000000e+00
4 59 32 2.0000000000000000e+00
4 59 36 1.0000000000000000e+00
4 59 38 1.0000000000000000e+00
4 59 39 1.0000000000000000e+00
4 60 33 1.0000000000000000e+00
4 61 1 2.0000000000000000e+00
4 61 15 3.0000000000000000e+00
4 61 18 5.0000000000000000e+00
4 61 22 1.0000000000000000e+00
4 61 29 3.0000000000000000e+00
4 61 31 1.0000000000000000e+00
4 61 33 5.0000000000000000e+00
4 61 36 1.0000000000000000e+00
4 61 38 2.0000000000000000e+00
4 61 44 1.0000000000000000e+00
4 61 50 2.0000000000000000e+00
4 61 53 4.0000000000000000e+00
4 61 54 1.0000000000000000e+00
4 61 55 2.0000000000000000e+00
4 61 59 2.0000000000000000e+00
4 62 1 1.0000000000000000e+00
4 62 15 2.0000000000000000e+00
4 62 16 1.0000000000000000e+00
4 62 18 1.0000000000000000e+00
4 62 22 1.0000000000000000e+00
4 62 29 1.0000000000000000e+00
4 62 31 2.0000000000000000e+00
4 62 33 1.0000000000000000e+00
4 62 38 1.0000000000000000e+00
4 62 50 2.0000000000000000e+00
4 62 53 2.0000000000000000e+00
4 62 55 2.0000000000000000e+00
4 62 59 1.0000000000000000e+00
4 64 5 6.0000000000000000e+00
4 64 17 1.0000000000000000e+00
4 64 19 2.0000000000000000e+00
4 64 20 1.0000000000000000e+00
4 64 22 1.0000000000000000e+00
4 64 32 4.0000000000000000e+00
4 64 36 1.0000000000000000e+00
4 64 37 1.0000000000000000e+00
4 64 38 1.0000000000000000e+00
4 64 39 3.0000000000000000e+00
4 64 43 1.0000000000000000e+00
4 64 53 1.0000000000000000e+00
